DrugX	DrugXConc	ABX	ABXConc	Strain	Replicate	normAUC	Exp	Strain_name
Benzbromarone	0	Erythromycin	3.15	NT5003	1	0.004801961824523945	LM20-10	B. fragilis NT
Benzbromarone	10	Erythromycin	3.15	NT5003	1	0.008421800148719953	LM20-10	B. fragilis NT
Benzbromarone	20	Erythromycin	3.15	NT5003	1	0.005318941404252415	LM20-10	B. fragilis NT
Benzbromarone	40	Erythromycin	3.15	NT5003	1	0.00497809865323751	LM20-10	B. fragilis NT
Benzbromarone	80	Erythromycin	3.15	NT5003	1	0.003860067228395642	LM20-10	B. fragilis NT
Benzbromarone	160	Erythromycin	3.15	NT5003	1	0.0038244720292464895	LM20-10	B. fragilis NT
Benzbromarone	320	Erythromycin	3.15	NT5003	1	0.005049841655290374	LM20-10	B. fragilis NT
Benzbromarone	640	Erythromycin	3.15	NT5003	1	0.005191505119145347	LM20-10	B. fragilis NT
Benzbromarone	0	Erythromycin	2.65	NT5003	1	0.0039026220811215766	LM20-10	B. fragilis NT
Benzbromarone	10	Erythromycin	2.65	NT5003	1	0.006711167811292405	LM20-10	B. fragilis NT
Benzbromarone	20	Erythromycin	2.65	NT5003	1	0.0047722279963318005	LM20-10	B. fragilis NT
Benzbromarone	40	Erythromycin	2.65	NT5003	1	0.0033139087803214663	LM20-10	B. fragilis NT
Benzbromarone	80	Erythromycin	2.65	NT5003	1	0.007389347872477983	LM20-10	B. fragilis NT
Benzbromarone	160	Erythromycin	2.65	NT5003	1	0.009492172917619874	LM20-10	B. fragilis NT
Benzbromarone	320	Erythromycin	2.65	NT5003	1	0.007124700551911756	LM20-10	B. fragilis NT
Benzbromarone	640	Erythromycin	2.65	NT5003	1	0.0043977061608513595	LM20-10	B. fragilis NT
Benzbromarone	0	Erythromycin	2.15	NT5003	1	0.006113521905969395	LM20-10	B. fragilis NT
Benzbromarone	10	Erythromycin	2.15	NT5003	1	0.004536194212850995	LM20-10	B. fragilis NT
Benzbromarone	20	Erythromycin	2.15	NT5003	1	0.007634127897931191	LM20-10	B. fragilis NT
Benzbromarone	40	Erythromycin	2.15	NT5003	1	0.0025402246124123728	LM20-10	B. fragilis NT
Benzbromarone	80	Erythromycin	2.15	NT5003	1	0.012533667636994799	LM20-10	B. fragilis NT
Benzbromarone	160	Erythromycin	2.15	NT5003	1	0.014423192878127161	LM20-10	B. fragilis NT
Benzbromarone	320	Erythromycin	2.15	NT5003	1	0.01740054690775119	LM20-10	B. fragilis NT
Benzbromarone	640	Erythromycin	2.15	NT5003	1	0.00836806216373399	LM20-10	B. fragilis NT
Benzbromarone	0	Erythromycin	1.65	NT5003	1	0.012945141974995009	LM20-10	B. fragilis NT
Benzbromarone	10	Erythromycin	1.65	NT5003	1	0.004321473223344346	LM20-10	B. fragilis NT
Benzbromarone	20	Erythromycin	1.65	NT5003	1	0.007313300213827303	LM20-10	B. fragilis NT
Benzbromarone	40	Erythromycin	1.65	NT5003	1	0.003639368137387953	LM20-10	B. fragilis NT
Benzbromarone	80	Erythromycin	1.65	NT5003	1	0.013895227535283943	LM20-10	B. fragilis NT
Benzbromarone	160	Erythromycin	1.65	NT5003	1	0.019449659344404575	LM20-10	B. fragilis NT
Benzbromarone	320	Erythromycin	1.65	NT5003	1	0.01742650416962393	LM20-10	B. fragilis NT
Benzbromarone	640	Erythromycin	1.65	NT5003	1	0.01102804220357491	LM20-10	B. fragilis NT
Benzbromarone	0	Erythromycin	1.15	NT5003	1	0.00989305945639295	LM20-10	B. fragilis NT
Benzbromarone	10	Erythromycin	1.15	NT5003	1	0.01104701800269156	LM20-10	B. fragilis NT
Benzbromarone	20	Erythromycin	1.15	NT5003	1	0.008532250140608155	LM20-10	B. fragilis NT
Benzbromarone	40	Erythromycin	1.15	NT5003	1	0.0028806734453894127	LM20-10	B. fragilis NT
Benzbromarone	80	Erythromycin	1.15	NT5003	1	0.009765664935922486	LM20-10	B. fragilis NT
Benzbromarone	160	Erythromycin	1.15	NT5003	1	0.012275540913441293	LM20-10	B. fragilis NT
Benzbromarone	320	Erythromycin	1.15	NT5003	1	0.013810923735173843	LM20-10	B. fragilis NT
Benzbromarone	640	Erythromycin	1.15	NT5003	1	0.007597983398907595	LM20-10	B. fragilis NT
Benzbromarone	0	Erythromycin	0.65	NT5003	1	0.011949681750915861	LM20-10	B. fragilis NT
Benzbromarone	10	Erythromycin	0.65	NT5003	1	0.05335511214094755	LM20-10	B. fragilis NT
