Strain	Replicate	ABX	ABXConc	DrugX	DrugXConc	normAUC	Exp	cfu_ml
community + Enterococcus faecalis	3	Erythromycin	0	Dicumarol	0	0.994826645116275	PM	2460000000
community + Enterococcus faecalis	2	Erythromycin	0	Benzbromarone	0	1.00587201721664	PM	2320000000
community + Enterococcus faecalis	3	Erythromycin	0	Benzbromarone	0	0.997158199698295	PM	2320000000
community + Enterococcus faecalis	2	Erythromycin	0.65	Benzbromarone	0	0.263553556394666	PM	2300000000
community + Enterococcus faecalis	3	Erythromycin	0	Dicumarol	0	1.03333128894025	PM	2280000000
community + Enterococcus faecalis	1	Erythromycin	0	Dicumarol	0	1.00561995886381	PM	2130000000
community + Enterococcus faecalis	2	Erythromycin	0	Dicumarol	0	1.02076055938892	PM	2030000000
community + Enterococcus faecalis	2	Erythromycin	0	Benzbromarone	0	0.993246375748092	PM	2030000000
community + Enterococcus faecalis	1	Erythromycin	0	Benzbromarone	0	1.00447899102742	PM	2010000000
community + Enterococcus faecalis	3	Erythromycin	0	Benzbromarone	0	1.01839121183952	PM	1990000000
community + Enterococcus faecalis	2	Erythromycin	0	Dicumarol	0	0.994380200738949	PM	1930000000
community + Enterococcus faecalis	1	Erythromycin	0	Dicumarol	0	0.986553840525359	PM	1890000000
community + Enterococcus faecalis	3	Erythromycin	0	Dicumarol	40	0.722882028202284	PM	1850000000
community + Enterococcus faecalis	1	Erythromycin	0	Benzbromarone	0	1.01603895246248	PM	1810000000
community + Enterococcus faecalis	2	Erythromycin	0	Dicumarol	40	0.719919320451895	PM	1750000000
community + Enterococcus faecalis	3	Erythromycin	0.65	Dicumarol	0	0.261483917091792	PM	1750000000
community + Enterococcus faecalis	6	Erythromycin	0	Dicumarol	40	0.725372928812845	PM	1630000000
community + Enterococcus faecalis	1	Erythromycin	0	Dicumarol	40	0.73096870795548	PM	1590000000
community + Enterococcus faecalis	3	Erythromycin	0.65	Benzbromarone	0	0.307083023378066	PM	1590000000
community + Enterococcus faecalis	6	Erythromycin	0	Dicumarol	0	0.991576746581006	PM	1490000000
community + Enterococcus faecalis	4	Erythromycin	0	Dicumarol	0	1.01951750824679	PM	1480000000
community + Enterococcus faecalis	6	Erythromycin	0	Benzbromarone	0	0.999772365492249	PM	1450000000
community + Enterococcus faecalis	5	Erythromycin	0.65	Benzbromarone	0	0.281285505806413	PM	1440000000
community + Enterococcus faecalis	5	Erythromycin	0	Dicumarol	40	0.716724608997073	PM	1420000000
community + Enterococcus faecalis	5	Erythromycin	0	Dicumarol	0	1.01551121421215	PM	1320000000
community + Enterococcus faecalis	3	Erythromycin	0	Dicumarol	40	0.725104621377735	PM	1280000000
community + Enterococcus faecalis	2	Erythromycin	0.65	Dicumarol	0	0.231218854242487	PM	1240000000
community + Enterococcus faecalis	4	Erythromycin	0	Benzbromarone	0	1.00623951307677	PM	1140000000
community + Enterococcus faecalis	6	Erythromycin	0	Benzbromarone	0	0.997690304891259	PM	1140000000
community + Enterococcus faecalis	1	Erythromycin	0.65	Benzbromarone	0	0.272785745417033	PM	1040000000
community + Enterococcus faecalis	4	Erythromycin	0	Dicumarol	40	0.743715250732678	PM	1040000000
community + Enterococcus faecalis	5	Erythromycin	0	Benzbromarone	0	0.989756808375462	PM	1040000000
community + Enterococcus faecalis	6	Erythromycin	0	Dicumarol	40	0.718416041666642	PM	1040000000
community + Enterococcus faecalis	5	Erythromycin	0	Dicumarol	0	0.983057850004491	PM	982000000
community + Enterococcus faecalis	1	Erythromycin	0.65	Dicumarol	0	0.235688919579512	PM	894000000
community + Enterococcus faecalis	5	Erythromycin	0	Dicumarol	40	0.721667421369535	PM	891000000
community + Enterococcus faecalis	4	Erythromycin	0	Benzbromarone	0	1.0003565235676	PM	876000000
community + Enterococcus faecalis	4	Erythromycin	0	Dicumarol	0	0.999643476432403	PM	859000000
community + Enterococcus faecalis	6	Erythromycin	0.65	Benzbromarone	0	0.17557722804322	PM	807000000
community + Enterococcus faecalis	5	Erythromycin	0	Benzbromarone	0	0.982732639789347	PM	752000000
community + Enterococcus faecalis	5	Erythromycin	0.65	Dicumarol	0	0.151541133118469	PM	691000000
community + Enterococcus faecalis	4	Erythromycin	0	Dicumarol	40	0.72322814503505	PM	633000000
community + Enterococcus faecalis	4	Erythromycin	0.65	Benzbromarone	0	0.0929398634097227	PM	366000000
community + Enterococcus faecalis	6	Erythromycin	0	Dicumarol	0	1.00055155568882	PM	235000000
community + Enterococcus faecalis	1	Erythromycin	0	Benzbromarone	20	0.630337594424011	PM	217500000
community + Enterococcus faecalis	3	Erythromycin	0	Benzbromarone	20	0.622469193498099	PM	215000000
community + Enterococcus faecalis	6	Erythromycin	0.65	Dicumarol	0	0.0871519668449573	PM	206000000
