Strain	Replicate	ABX	ABXConc	DrugX	DrugXConc	normAUC	Exp
community	1	Erythromycin	3.15	Dicumarol	0	0.0124343143014743	PM
community	1	Erythromycin	3.15	Dicumarol	2.5	0.0130099077239206	PM
community	1	Erythromycin	3.15	Dicumarol	5	0.011052691849673	PM
community	1	Erythromycin	3.15	Dicumarol	10	0.013815776883977	PM
community	1	Erythromycin	3.15	Dicumarol	20	0.0132402793831099	PM
community	1	Erythromycin	3.15	Dicumarol	40	0.00840471271031431	PM
community	1	Erythromycin	3.15	Dicumarol	80	0.00679281452090284	PM
community	1	Erythromycin	3.15	Dicumarol	160	0.00299345669349335	PM
community	1	Erythromycin	2.65	Dicumarol	0	0.0112829995611429	PM
community	1	Erythromycin	2.65	Dicumarol	2.5	0.0132401834615307	PM
community	1	Erythromycin	2.65	Dicumarol	5	0.0113980095345091	PM
community	1	Erythromycin	2.65	Dicumarol	10	0.0133552893564761	PM
community	1	Erythromycin	2.65	Dicumarol	20	0.0110525639542341	PM
community	1	Erythromycin	2.65	Dicumarol	40	0.0100164190565675	PM
community	1	Erythromycin	2.65	Dicumarol	80	0.00552623401632753	PM
community	1	Erythromycin	2.65	Dicumarol	160	0.00379926190583039	PM
community	1	Erythromycin	2.15	Dicumarol	0	0.0127796959340298	PM
community	1	Erythromycin	2.15	Dicumarol	2.5	0.0146216460440335	PM
community	1	Erythromycin	2.15	Dicumarol	5	0.0151971435449006	PM
community	1	Erythromycin	2.15	Dicumarol	10	0.0166937759700682	PM
community	1	Erythromycin	2.15	Dicumarol	20	0.0148517619123451	PM
community	1	Erythromycin	2.15	Dicumarol	40	0.0130095560114638	PM
community	1	Erythromycin	2.15	Dicumarol	80	0.0110520203986191	PM
community	1	Erythromycin	2.15	Dicumarol	160	0.00437495124985581	PM
community	1	Erythromycin	1.65	Dicumarol	0	0.0123190165633707	PM
community	1	Erythromycin	1.65	Dicumarol	2.5	0.0170390616810446	PM
community	1	Erythromycin	1.65	Dicumarol	5	0.0166933603098919	PM
community	1	Erythromycin	1.65	Dicumarol	10	0.0237160349082287	PM
community	1	Erythromycin	1.65	Dicumarol	20	0.0204922385294058	PM
community	1	Erythromycin	1.65	Dicumarol	40	0.0170382623345518	PM
community	1	Erythromycin	1.65	Dicumarol	80	0.0209515110502377	PM
community	1	Erythromycin	1.65	Dicumarol	160	0.00587139183186511	PM
community	1	Erythromycin	1.15	Dicumarol	0	0.0233705893279538	PM
community	1	Erythromycin	1.15	Dicumarol	2.5	0.0347670001694773	PM
community	1	Erythromycin	1.15	Dicumarol	5	0.0389110042306691	PM
community	1	Erythromycin	1.15	Dicumarol	10	0.0391405445695059	PM
community	1	Erythromycin	1.15	Dicumarol	20	0.0509962279318614	PM
community	1	Erythromycin	1.15	Dicumarol	40	0.116953664297844	PM
community	1	Erythromycin	1.15	Dicumarol	80	0.0781607715049336	PM
community	1	Erythromycin	1.15	Dicumarol	160	0.00218723582098007	PM
community	1	Erythromycin	0.65	Dicumarol	0	0.070796616084926	PM
community	1	Erythromycin	0.65	Dicumarol	2.5	0.102335919064696	PM
community	1	Erythromycin	0.65	Dicumarol	5	0.124897537768201	PM
community	1	Erythromycin	0.65	Dicumarol	10	0.274777051472012	PM
community	1	Erythromycin	0.65	Dicumarol	20	0.427213450788878	PM
community	1	Erythromycin	0.65	Dicumarol	40	0.35088561276551	PM
community	1	Erythromycin	0.65	Dicumarol	80	0.168641742606047	PM
community	1	Erythromycin	0.65	Dicumarol	160	0.0131237026906178	PM
community	1	Erythromycin	0.15	Dicumarol	0	0.695693346513169	PM
community	1	Erythromycin	0.15	Dicumarol	2.5	0.767086434950932	PM
community	1	Erythromycin	0.15	Dicumarol	5	0.76939075904616006	PM
community	1	Erythromycin	0.15	Dicumarol	10	0.77445826409727	PM
community	1	Erythromycin	0.15	Dicumarol	20	0.744873906847709	PM
community	1	Erythromycin	0.15	Dicumarol	40	0.550532726868083	PM
community	1	Erythromycin	0.15	Dicumarol	80	0.318890458467897	PM
community	1	Erythromycin	0.15	Dicumarol	160	0.0374121656091815	PM
community	1	Erythromycin	0	Dicumarol	0	1.02889780528402	PM
community	1	Erythromycin	0	Dicumarol	2.5	1.00430523262824	PM
community	1	Erythromycin	0	Dicumarol	5	0.988262891696369	PM
community	1	Erythromycin	0	Dicumarol	10	0.918955458127298	PM
community	1	Erythromycin	0	Dicumarol	20	0.860931951361302	PM
community	1	Erythromycin	0	Dicumarol	40	0.615242735071457	PM
community	1	Erythromycin	0	Dicumarol	80	0.317052505090357	PM
community	1	Erythromycin	0	Dicumarol	160	0.0514569392763802	PM
community	1	Erythromycin	3.15	Benzbromarone	0	0.0100512491445341	PM
community	1	Erythromycin	3.15	Benzbromarone	10	0.0111154751005214	PM
community	1	Erythromycin	3.15	Benzbromarone	20	0.0096964852662815	PM
community	1	Erythromycin	3.15	Benzbromarone	40	0.00744974588883742	PM
community	1	Erythromycin	3.15	Benzbromarone	80	0.00437512561064842	PM
community	1	Erythromycin	3.15	Benzbromarone	160	0.00520274379631181	PM
community	1	Erythromycin	3.15	Benzbromarone	320	0.00236479696721712	PM
community	1	Erythromycin	3.15	Benzbromarone	640	0.00568754058598651	PM
community	1	Erythromycin	2.65	Benzbromarone	0	0.0127710398657001	PM
community	1	Erythromycin	2.65	Benzbromarone	10	0.00946000885349831	PM
community	1	Erythromycin	2.65	Benzbromarone	20	0.00851403752359511	PM
community	1	Erythromycin	2.65	Benzbromarone	40	0.00685840707964606	PM
community	1	Erythromycin	2.65	Benzbromarone	80	0.00413871487663561	PM
community	1	Erythromycin	2.65	Benzbromarone	160	0.00449324887919184	PM
community	1	Erythromycin	2.65	Benzbromarone	320	0.00390200858815607	PM
community	1	Erythromycin	2.65	Benzbromarone	640	0.00413841932216887	PM
community	1	Erythromycin	2.15	Benzbromarone	0	0.0126639245386266	PM
community	1	Erythromycin	2.15	Benzbromarone	10	0.0140716437163151	PM
community	1	Erythromycin	2.15	Benzbromarone	20	0.00744958169191143	PM
community	1	Erythromycin	2.15	Benzbromarone	40	0.00626713394922508	PM
community	1	Erythromycin	2.15	Benzbromarone	80	7.09462077734778e-4	PM
community	1	Erythromycin	2.15	Benzbromarone	160	0.00425690382394944	PM
community	1	Erythromycin	2.15	Benzbromarone	320	0.00413838648278368	PM
community	1	Erythromycin	2.15	Benzbromarone	640	0.00342895724443409	PM
community	1	Erythromycin	1.65	Benzbromarone	0	0.0172643215842771	PM
community	1	Erythromycin	1.65	Benzbromarone	10	0.0216388232466067	PM
community	1	Erythromycin	1.65	Benzbromarone	20	0.0212834354200354	PM
community	1	Erythromycin	1.65	Benzbromarone	40	0.013715796138351	PM
community	1	Erythromycin	1.65	Benzbromarone	80	0.00236473128844671	PM
community	1	Erythromycin	1.65	Benzbromarone	160	0.00567566378249301	PM
community	1	Erythromycin	1.65	Benzbromarone	320	0.00555750767456438	PM
community	1	Erythromycin	1.65	Benzbromarone	640	0.00342889156566371	PM
community	1	Erythromycin	1.15	Benzbromarone	0	0.0250680760455075	PM
community	1	Erythromycin	1.15	Benzbromarone	10	0.043275249218094	PM
community	1	Erythromycin	1.15	Benzbromarone	20	0.0587626316695145	PM
community	1	Erythromycin	1.15	Benzbromarone	40	0.0431556481772168	PM
community	1	Erythromycin	1.15	Benzbromarone	80	0.0139518784785118	PM
community	1	Erythromycin	1.15	Benzbromarone	160	0.00662160227301096	PM
community	1	Erythromycin	1.15	Benzbromarone	320	0.00342902292320448	PM
community	1	Erythromycin	1.15	Benzbromarone	640	0.00390545398711669	PM
community	1	Erythromycin	0.65	Benzbromarone	0	0.0932873012724598	PM
community	1	Erythromycin	0.65	Benzbromarone	10	0.22677286704909	PM
community	1	Erythromycin	0.65	Benzbromarone	20	0.267213354858453	PM
community	1	Erythromycin	0.65	Benzbromarone	40	0.20490091700699	PM
community	1	Erythromycin	0.65	Benzbromarone	80	0.0458736327321969	PM
community	1	Erythromycin	0.65	Benzbromarone	160	0.00271949516669931	PM
community	1	Erythromycin	0.65	Benzbromarone	320	0.00390200858815606	PM
