Strain	Replicate	ABX	ABXConc	DrugX	DrugXConc	normAUC	Exp
Enterococcus faecium	1	Erythromycin	3.15	Dicumarol	0	0.0144886570346103	PM
Enterococcus faecium	1	Erythromycin	3.15	Dicumarol	2.5	0.0128785082014652	PM
Enterococcus faecium	1	Erythromycin	3.15	Dicumarol	5	0.0112688082501438	PM
Enterococcus faecium	1	Erythromycin	3.15	Dicumarol	10	0.0112690317932553	PM
Enterococcus faecium	1	Erythromycin	3.15	Dicumarol	20	0.0160981352518315	PM
Enterococcus faecium	1	Erythromycin	3.15	Dicumarol	40	0.0386282237813028	PM
Enterococcus faecium	1	Erythromycin	3.15	Dicumarol	80	0.0112685829069614	PM
Enterococcus faecium	1	Erythromycin	3.15	Dicumarol	160	0.0185131698641571	PM
Enterococcus faecium	1	Erythromycin	2.65	Dicumarol	0	0.0072442167479845	PM
Enterococcus faecium	1	Erythromycin	2.65	Dicumarol	2.5	0.0112685829069614	PM
Enterococcus faecium	1	Erythromycin	2.65	Dicumarol	5	0.0112685829069614	PM
Enterococcus faecium	1	Erythromycin	2.65	Dicumarol	10	0.0040245896976182	PM
Enterococcus faecium	1	Erythromycin	2.65	Dicumarol	20	0.0072442167479845	PM
Enterococcus faecium	1	Erythromycin	2.65	Dicumarol	40	0.0305867922864418	PM
Enterococcus faecium	1	Erythromycin	2.65	Dicumarol	80	0.0144882099573277	PM
Enterococcus faecium	1	Erythromycin	2.65	Dicumarol	160	0.00724399320934321	PM
Enterococcus faecium	1	Erythromycin	2.15	Dicumarol	0	0.00965888115109891	PM
Enterococcus faecium	1	Erythromycin	2.15	Dicumarol	2.5	0.00563429145348069	PM
Enterococcus faecium	1	Erythromycin	2.15	Dicumarol	5	0.0040245896976182	PM
Enterococcus faecium	1	Erythromycin	2.15	Dicumarol	10	0.00241466440311441	PM
Enterococcus faecium	1	Erythromycin	2.15	Dicumarol	20	0.0206191199287031	PM
