Time_h,Well,OD,Drug_h,Conc_h,Conch_flag,DRUGH_FLAG,Drug_v,DRUGV_FLAG,Conc_v,Concv_flag,Comb_id,Comb,Comb_flags,Full.name,Well_letter,Well_number,quadrant.id,Time_points,plate_id,plate_tp,plate_wellID,mean_1sttp,OD_no1st,strain
0,A1,0.2084,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,1,CB16.CB_16_N_1,CB16.CB_16_N_1_1,CB16.CB_16_N_1_A1,0.2084,0,N
0.577222222,A1,0.2667,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,2,CB16.CB_16_N_1,CB16.CB_16_N_1_2,CB16.CB_16_N_1_A1,0.2084,0,N
1.154166667,A1,0.2382,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,3,CB16.CB_16_N_1,CB16.CB_16_N_1_3,CB16.CB_16_N_1_A1,0.2084,0.04285,N
1.731111111,A1,0.2941,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,4,CB16.CB_16_N_1,CB16.CB_16_N_1_4,CB16.CB_16_N_1_A1,0.2084,0.062675,N
2.308333333,A1,0.1888,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,5,CB16.CB_16_N_1,CB16.CB_16_N_1_5,CB16.CB_16_N_1_A1,0.2084,0.0825,N
2.885277778,A1,0.2877,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,6,CB16.CB_16_N_1,CB16.CB_16_N_1_6,CB16.CB_16_N_1_A1,0.2084,0.0793,N
3.510277778,A1,0.2764,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,7,CB16.CB_16_N_1,CB16.CB_16_N_1_7,CB16.CB_16_N_1_A1,0.2084,0.068,N
4.0875,A1,0.2897,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,8,CB16.CB_16_N_1,CB16.CB_16_N_1_8,CB16.CB_16_N_1_A1,0.2084,0.0813,N
4.664444444,A1,0.2968,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,9,CB16.CB_16_N_1,CB16.CB_16_N_1_9,CB16.CB_16_N_1_A1,0.2084,0.0884,N
5.241388889,A1,0.1348,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,10,CB16.CB_16_N_1,CB16.CB_16_N_1_10,CB16.CB_16_N_1_A1,0.2084,0.08865,N
