Identifier	WellID	DrugX	DrugXConc	ABX	ABXConc	Strain	Replicate	PlateNumber	plate	row	col	control	AUC_scaled	AUC_shifted	normAUC_scaled	normAUC_shifted	normAUC	category	median	ABXnormAUC
1	1101	Tolfenamic acid	640	Erythromycin	0.625	NT5001	R1	1	1	1	01	FALSE	0.056542582326228046	0.056964935882353004	0.011807214799706074	0.01191656393189881	0.01191656393189881	test	0.09893401904513033	-0.08701745511323151
10	1110	DMSO control	0	MGAM	0	NT5001	R1	1	1	1	10	TRUE	4.685980883597574	4.685980883597574	0.9785259279586918	0.9802660165960954	0.9802660165960954	medium	NA	NA
100	2104	Tolfenamic acid	80	Erythromycin	0.625	NT5001	R2	2	2	1	04	FALSE	1.398084758620689	1.3917700126467927	0.2640603450207087	0.26340148652859857	0.2640603450207087	test	0.01619991823067287	0.2478604267900358
101	2105	Tolfenamic acid	40	Erythromycin	0.625	NT5001	R2	2	2	1	05	FALSE	2.04479576081627	2.020782802468834	0.38620653774290886	0.382446229826049	0.38620653774290886	test	0.01619991823067287	0.370006619512236
102	2106	Tolfenamic acid	20	Erythromycin	0.625	NT5001	R2	2	2	1	06	FALSE	0.6444341987981977	0.6461806329412823	0.12171616622563033	0.12229386876861785	0.12229386876861785	test	0.01619991823067287	0.10609395053794499
103	2107	Tolfenamic acid	10	Erythromycin	0.625	NT5001	R2	2	2	1	07	FALSE	0.1157654987938513	0.11566092291418205	0.02186496731654338	0.021889578559698974	0.021889578559698974	test	0.01619991823067287	0.005689660329026104
104	2108	Tolfenamic acid	5	Erythromycin	0.625	NT5001	R2	2	2	1	08	FALSE	0.06819848121181825	0.06776723516982842	0.012880846005679753	0.012825388045054795	0.012880846005679753	test	0.01619991823067287	-0.003319072224993117
105	2109	DMSO control	0	MGAM	0	NT5001	R2	2	2	1	09	TRUE	5.313699511882998	5.251298343270099	1.0036139209674895	0.9938422133352455	1.0036139209674895	medium	NA	NA
106	2110	DMSO control	0	MGAM	0	NT5001	R2	2	2	1	10	TRUE	5.256463899879496	5.280205832579945	0.9928036640356945	0.9993131428615561	0.9993131428615561	medium	NA	NA
107	2111	DMSO control	0	MGAM	0	NT5001	R2	2	2	1	11	TRUE	5.509306809178441	5.4943764384218605	1.0405588415768532	1.039846316760172	1.039846316760172	medium	NA	NA
