target_species	prestwick_ID	human_use	n_hit	hit
antiseptic	Prestw-1194	TRUE	36	TRUE
antiseptic	Prestw-143	TRUE	40	TRUE
antiseptic	Prestw-1472	TRUE	37	TRUE
antiseptic	Prestw-1479	TRUE	29	TRUE
antiseptic	Prestw-388	TRUE	29	TRUE
antiseptic	Prestw-551	TRUE	6	TRUE
antiseptic	Prestw-705	TRUE	33	TRUE
antiseptic	Prestw-708	TRUE	35	TRUE
antiseptic	Prestw-711	TRUE	0	FALSE
antiseptic	Prestw-777	TRUE	37	TRUE
antiseptic	Prestw-787	TRUE	32	TRUE
antiseptic	Prestw-925	TRUE	24	TRUE
bacteria	Prestw-10	TRUE	0	FALSE
bacteria	Prestw-1000	TRUE	22	TRUE
bacteria	Prestw-1009	TRUE	19	TRUE
bacteria	Prestw-1010	TRUE	34	TRUE
bacteria	Prestw-1011	TRUE	28	TRUE
bacteria	Prestw-1028	TRUE	35	TRUE
bacteria	Prestw-1053	TRUE	2	TRUE
bacteria	Prestw-1067	TRUE	36	TRUE
bacteria	Prestw-1078	TRUE	38	TRUE
bacteria	Prestw-1086	TRUE	0	FALSE
bacteria	Prestw-1089	TRUE	1	TRUE
bacteria	Prestw-1106	TRUE	37	TRUE
bacteria	Prestw-1109	TRUE	40	TRUE
bacteria	Prestw-1113	TRUE	0	FALSE
bacteria	Prestw-1118	TRUE	30	TRUE
bacteria	Prestw-1120	TRUE	38	TRUE
bacteria	Prestw-113	TRUE	39	TRUE
bacteria	Prestw-114	TRUE	35	TRUE
bacteria	Prestw-1157	TRUE	39	TRUE
bacteria	Prestw-1202	TRUE	0	FALSE
bacteria	Prestw-1234	TRUE	39	TRUE
bacteria	Prestw-1263	TRUE	33	TRUE
bacteria	Prestw-1265	TRUE	38	TRUE
bacteria	Prestw-1282	TRUE	0	FALSE
bacteria	Prestw-1303	TRUE	18	TRUE
bacteria	Prestw-1315	TRUE	2	TRUE
bacteria	Prestw-1321	TRUE	0	FALSE
bacteria	Prestw-1338	TRUE	33	TRUE
bacteria	Prestw-1339	TRUE	38	TRUE
bacteria	Prestw-1343	TRUE	34	TRUE
bacteria	Prestw-1345	TRUE	4	TRUE
bacteria	Prestw-1349	TRUE	14	TRUE
bacteria	Prestw-137	TRUE	39	TRUE
bacteria	Prestw-1378	TRUE	39	TRUE
bacteria	Prestw-1379	TRUE	39	TRUE
bacteria	Prestw-139	TRUE	35	TRUE
bacteria	Prestw-1399	TRUE	40	TRUE
bacteria	Prestw-14	TRUE	0	FALSE
bacteria	Prestw-140	TRUE	39	TRUE
bacteria	Prestw-1401	TRUE	28	TRUE
bacteria	Prestw-1414	TRUE	10	TRUE
bacteria	Prestw-1429	TRUE	39	TRUE
bacteria	Prestw-1431	TRUE	28	TRUE
bacteria	Prestw-1446	TRUE	39	TRUE
bacteria	Prestw-1447	TRUE	4	TRUE
bacteria	Prestw-145	TRUE	40	TRUE
bacteria	Prestw-1464	TRUE	40	TRUE
bacteria	Prestw-1474	TRUE	32	TRUE
bacteria	Prestw-1475	TRUE	25	TRUE
bacteria	Prestw-1478	TRUE	38	TRUE
bacteria	Prestw-151	TRUE	37	TRUE
bacteria	Prestw-154	TRUE	37	TRUE
bacteria	Prestw-158	TRUE	0	FALSE
bacteria	Prestw-159	TRUE	4	TRUE
bacteria	Prestw-16	TRUE	0	FALSE
bacteria	Prestw-160	TRUE	3	TRUE
bacteria	Prestw-161	TRUE	0	FALSE
bacteria	Prestw-164	TRUE	33	TRUE
bacteria	Prestw-166	TRUE	18	TRUE
