Drug_Name	ATC
Amikacin	J01GB06
Amoxicillin-Clavulanic Acid	 J01CR02
Amoxicillin	J01CA04
Azithromycin	J01FA10
Chloramphenicol	J01BA01
Ceftazidime	J01DD02
Clindamycin	J01FF01
Ciprofloxacin	J01MA02
Clarithromycin	J01FA09
Ceftriaxone	J01DD04
Colistin	J01XB01
Cefotaxime	J01DD01
Doxycycline	J01AA02
Erythromycin	J01FA01
Fosfomycin	 J01XX01 
Cefoxitin	J01DC01
Gatifloxacin	J01MA16
Itraconazole	J02AC02
Ketoconazole	J02AB02 
Linezolid	J01XX08
Meropenem	J01DH02
Metronidazole	J01XD01
Moxifloxacin	J01MA14
Norfloxacin	J01MA06
Ofloxacin	J01MA01
Oxacillin	J01CF04
Piperacillin	J01CA12
Sulfamethoxazole	J01EC01
Spiramycin	J01FA02
Trimethoprim-Sulfamethoxazole	 J01EE01
Teicoplanin	J01XA02
Tigecycline	J01AA12 
Trimethoprim	J01EA01
Tobramycin	J01GB01
Vancomycin	J01XA01
