Time (h)	replicate	Strain	Drug										
0	0.001	B. vulgatus 	 no drug										
1	0.004	B. vulgatus 	 no drug										
2	0.033	B. vulgatus 	 no drug										
3	0.118	B. vulgatus 	 no drug										
4	0.246	B. vulgatus 	 no drug										
5	0.503	B. vulgatus 	 no drug										
6	0.648	B. vulgatus 	 no drug										
7	0.725	B. vulgatus 	 no drug										
8	0.778	B. vulgatus 	 no drug										
9	0.805	B. vulgatus 	 no drug										
10	0.823	B. vulgatus 	 no drug										
11	0.835	B. vulgatus 	 no drug										
12	0.842	B. vulgatus 	 no drug										
13	0.846	B. vulgatus 	 no drug										
14	0.85	B. vulgatus 	 no drug										
15	0.851	B. vulgatus 	 no drug										
16	0.852	B. vulgatus 	 no drug										
17	0.85	B. vulgatus 	 no drug										
18	0.851	B. vulgatus 	 no drug										
19	0.849	B. vulgatus 	 no drug										
20	0.848	B. vulgatus 	 no drug										
21	0.846	B. vulgatus 	 no drug										
22	0.845	B. vulgatus 	 no drug										
23	0.846	B. vulgatus 	 no drug										
24	0.844	B. vulgatus 	 no drug										
25	0.843	B. vulgatus 	 no drug										
26	0.841	B. vulgatus 	 no drug										
27	0.842	B. vulgatus 	 no drug										
28	0.844	B. vulgatus 	 no drug										
0	0.001	B. uniformis	 no drug										
1	0.01	B. uniformis	 no drug										
2	0.042	B. uniformis	 no drug										
3	0.101	B. uniformis	 no drug										
4	0.156	B. uniformis	 no drug										
5	0.31	B. uniformis	 no drug										
6	0.569	B. uniformis	 no drug										
7	0.756	B. uniformis	 no drug										
8	0.855	B. uniformis	 no drug										
9	0.914	B. uniformis	 no drug										
10	0.95	B. uniformis	 no drug										
11	0.975	B. uniformis	 no drug										
12	0.99	B. uniformis	 no drug										
13	1.002	B. uniformis	 no drug										
14	1.01	B. uniformis	 no drug										
15	1.015	B. uniformis	 no drug										
16	1.022	B. uniformis	 no drug										
17	1.025	B. uniformis	 no drug										
18	1.031	B. uniformis	 no drug										
19	1.035	B. uniformis	 no drug										
20	1.04	B. uniformis	 no drug										
21	1.046	B. uniformis	 no drug										
22	1.052	B. uniformis	 no drug										
23	1.059	B. uniformis	 no drug										
24	1.066	B. uniformis	 no drug										
25	1.071	B. uniformis	 no drug										
26	1.075	B. uniformis	 no drug										
27	1.078	B. uniformis	 no drug										
28	1.081	B. uniformis	 no drug										
0	0.001	B. vulgatus	 erythromycin										
1	0.004	B. vulgatus	 erythromycin										
2	0.033	B. vulgatus	 erythromycin										
3	0.118	B. vulgatus	 erythromycin										
4	0.27	B. vulgatus	 erythromycin										
5	0.371	B. vulgatus	 erythromycin										
6	0.438	B. vulgatus	 erythromycin										
7	0.432	B. vulgatus	 erythromycin										
8	0.37	B. vulgatus	 erythromycin										
9	0.324	B. vulgatus	 erythromycin										
10	0.309	B. vulgatus	 erythromycin										
11	0.304	B. vulgatus	 erythromycin										
12	0.309	B. vulgatus	 erythromycin										
13	0.309	B. vulgatus	 erythromycin										
14	0.306	B. vulgatus	 erythromycin										
15	0.291	B. vulgatus	 erythromycin										
16	0.285	B. vulgatus	 erythromycin										
