Drug	ABX	Strain	Replicate	normAUC	Exp
Etomidate	Erythromycin	NT5001	R1	0.023403048747038333	LM18-12
Hydrochlorothiazide	Erythromycin	NT5001	R1	0.036719245475936496	LM18-12
Edrophonium chloride	Erythromycin	NT5001	R1	0.0338584603588498	LM18-12
Ifosfamide	Erythromycin	NT5001	R1	0.03569434776279268	LM18-12
Omeprazole	Doxycycline	NT5002	R2	0.12847329293179763	LM18-22
Propylthiouracil	Doxycycline	NT5002	R2	0.12134056961829962	LM18-22
Terconazole	Doxycycline	NT5002	R2	0.1035619643196345	LM18-22
Vancomycin hydrochloride	Doxycycline	NT5002	R2	0.09004119206371326	LM18-22
Artemisinin	Doxycycline	NT5002	R2	0.011842659397329345	LM18-22
Propafenone hydrochloride	Doxycycline	NT5002	R2	0.11123043703723627	LM18-22
Ethamivan	Doxycycline	NT5002	R2	0.14166049616482146	LM18-22
Anethole-trithione	Doxycycline	NT5002	R2	0.08798262893965281	LM18-22
Cefdinir	Doxycycline	NT5002	R2	0.012219141795045496	LM18-22
Novobiocin sodium salt	Erythromycin	NT5001	R1	0.00857319133708469	LM18-12
Vigabatrin	Doxycycline	NT5002	R2	0.11222717935222662	LM18-22
Biperiden hydrochloride	Doxycycline	NT5002	R2	0.10596706624239231	LM18-22
Cetirizine dihydrochloride	Doxycycline	NT5002	R2	0.10818090932381441	LM18-22
Etifenin	Doxycycline	NT5002	R2	0.11535448843370763	LM18-22
Metaproterenol sulfate, orciprenaline sulfate	Doxycycline	NT5002	R2	0.11009987085316017	LM18-22
Sibutramine HCl	Doxycycline	NT5002	R2	0.10358928966109214	LM18-22
Acenocoumarol	Doxycycline	NT5002	R2	0.06607400891621962	LM18-22
Bromperidol	Doxycycline	NT5002	R2	0.1074538717908885	LM18-22
Cyclizine hydrochloride	Doxycycline	NT5002	R2	0.12565753611182848	LM18-22
Tetrahydroxy-1,4-quinone monohydrate	Erythromycin	NT5001	R1	0.033977964810949425	LM18-12
Carprofen	Doxycycline	NT5002	R2	0.1520832426243438	LM18-22
Mitotane	Doxycycline	NT5002	R2	0.23074237615418317	LM18-22
Fluoxetine hydrochloride	Doxycycline	NT5002	R2	0.09532416333622036	LM18-22
Iohexol	Doxycycline	NT5002	R2	0.11779807632116122	LM18-22
Norcyclobenzaprine	Doxycycline	NT5002	R2	0.09865398628827089	LM18-22
Pyrazinamide	Doxycycline	NT5002	R2	0.12197373606635767	LM18-22
Trimethadione	Doxycycline	NT5002	R2	0.10938840892662101	LM18-22
Nystatine	Doxycycline	NT5002	R2	0.11212395250952943	LM18-22
Budesonide	Doxycycline	NT5002	R2	0.0496260368588806	LM18-22
Imipenem	Doxycycline	NT5002	R2	0.12385474005239919	LM18-22
Sulfasalazine	Doxycycline	NT5002	R2	0.12423177739680251	LM18-22
Ambrisentan	Doxycycline	NT5002	R2	0.08635805385248183	LM18-22
Aripiprazole	Doxycycline	NT5002	R2	0.2011348173422217	LM18-22
Lofexidine	Doxycycline	NT5002	R2	0.12416465338587622	LM18-22
Thiostrepton	Doxycycline	NT5002	R2	0.01309283865599374	LM18-22
Miglitol	Doxycycline	NT5002	R2	0.10270180051320824	LM18-22
Tiabendazole	Doxycycline	NT5002	R2	0.11279500086331867	LM18-22
Rifampicin	Doxycycline	NT5002	R2	0.012618775770991169	LM18-22
Carbenoxolone disodium salt	Erythromycin	NT5001	R1	0.03329135518003918	LM18-12
Tenoxicam	Doxycycline	NT5002	R2	0.12005185952402961	LM18-22
Triflusal	Doxycycline	NT5002	R2	0.0658860275278733	LM18-22
Mesoridazine besylate	Doxycycline	NT5002	R2	0.09696046921280672	LM18-22
Trolox	Doxycycline	NT5002	R2	0.11393053994949619	LM18-22
Ethinylestradiol	Doxycycline	NT5002	R2	0.10658305049944422	LM18-22
Azithromycin	Doxycycline	NT5002	R2	0.012858511474970446	LM18-22
Pirenperone	Doxycycline	NT5002	R2	0.11633365310929378	LM18-22
Isoquinoline, 6,7-dimethoxy-1-methyl-1,2,3,4-tetrahydro, hydrochloride	Doxycycline	NT5002	R2	0.12150300334669475	LM18-22
Phenacetin	Doxycycline	NT5002	R2	0.10150773511564835	LM18-22
Atovaquone	Doxycycline	NT5002	R2	0.10499393965925487	LM18-22
Iocetamic acid	Erythromycin	NT5001	R1	0.02676946169025311	LM18-12
Methoxamine hydrochloride	Doxycycline	NT5002	R2	0.12222785230714482	LM18-22
Piracetam	Doxycycline	NT5002	R2	0.11316228467572485	LM18-22
Phenindione	Doxycycline	NT5002	R2	0.06768963456025957	LM18-22
Thiocolchicoside	Doxycycline	NT5002	R2	0.12004525750874266	LM18-22
Clorsulon	Doxycycline	NT5002	R2	0.13375168907266194	LM18-22
Ibudilast	Doxycycline	NT5002	R2	0.11682782416738452	LM18-22
Gemcitabine	Doxycycline	NT5002	R2	0.15787061684369152	LM18-22
Ciclopirox ethanolamine	Doxycycline	NT5002	R2	0.09655058317967453	LM18-22
Probenecid	Doxycycline	NT5002	R2	0.12622668717848867	LM18-22
Ganciclovir	Erythromycin	NT5001	R1	0.03495019458428379	LM18-12
Betahistine mesylate	Doxycycline	NT5002	R2	0.12303115088043563	LM18-22
Tobramycin	Doxycycline	NT5002	R2	0.12538845994760403	LM18-22
Tetramisole hydrochloride	Doxycycline	NT5002	R2	0.11049215031094815	LM18-22
Molsidomine	Doxycycline	NT5002	R2	0.11407939743918555	LM18-22
Chloroquine diphosphate	Doxycycline	NT5002	R2	0.026128855088385836	LM18-22
Trimetazidine dihydrochloride	Doxycycline	NT5002	R2	0.1099532435978825	LM18-22
Parthenolide	Doxycycline	NT5002	R2	0.11908361435874451	LM18-22
Olmesartan	Doxycycline	NT5002	R2	0.08373005766660489	LM18-22
Formoterol fumarate	Doxycycline	NT5002	R2	0.0674358276018858	LM18-22
Ethopropazine hydrochloride	Erythromycin	NT5001	R1	0.022688970492411174	LM18-12
Hexetidine	Doxycycline	NT5002	R2	0.09055771910917804	LM18-22
Selegiline hydrochloride	Doxycycline	NT5002	R2	0.09868793114733068	LM18-22
Pentamidine isethionate	Doxycycline	NT5002	R2	0.06551842987416369	LM18-22
Tolazamide	Doxycycline	NT5002	R2	0.10388979734936267	LM18-22
Nifuroxazide	Doxycycline	NT5002	R2	0.08913839926636077	LM18-22
Dirithromycin	Doxycycline	NT5002	R2	0.025195732511455543	LM18-22
Gliclazide	Doxycycline	NT5002	R2	0.05385556799882694	LM18-22
DO 897/99	Doxycycline	NT5002	R2	0.0664439692746877	LM18-22
Prenylamine lactate	Doxycycline	NT5002	R2	0.07938295785807477	LM18-22
Rufloxacin	Doxycycline	NT5002	R2	0.08882377761886502	LM18-22
Fleroxacin	Doxycycline	NT5002	R2	0.2641202744626445	LM18-22
Ziprasidone  Hydrochloride	Doxycycline	NT5002	R2	0.1096247062378491	LM18-22
Mevastatin	Doxycycline	NT5002	R2	0.12115716875238311	LM18-22
Pyridostigmine iodide	Doxycycline	NT5002	R2	0.13350445939011846	LM18-22
Pentobarbital	Doxycycline	NT5002	R2	0.10743391190478994	LM18-22
Atropine sulfate monohydrate	Doxycycline	NT5002	R2	0.10696401304260961	LM18-22
Itraconazole	Doxycycline	NT5002	R2	0.09781131538436974	LM18-22
Acarbose	Doxycycline	NT5002	R2	0.04812427435425721	LM18-22
Ethynylestradiol 3-methyl ether	Erythromycin	NT5001	R1	0.03654681940623443	LM18-12
Entacapone	Doxycycline	NT5002	R2	0.11085225253853902	LM18-22
Nicotinamide	Doxycycline	NT5002	R2	0.12736070588240833	LM18-22
Clavulanate potassium salt	Doxycycline	NT5002	R2	0.13723039211170365	LM18-22
Amcinonide	Doxycycline	NT5002	R2	0.3313299398453915	LM18-22
Tetracaïne hydrochloride	Doxycycline	NT5002	R2	0.11899294429099007	LM18-22
Mometasone furoate	Doxycycline	NT5002	R2	0.12666460398805968	LM18-22
Troglitazone	Doxycycline	NT5002	R2	0.11029092102698872	LM18-22
Dacarbazine	Doxycycline	NT5002	R2	0.11645733993538247	LM18-22
Tenatoprazole	Doxycycline	NT5002	R2	0.1336936636527836	LM18-22
Moroxidine hydrochloride	Erythromycin	NT5001	R1	0.033115138541274604	LM18-12
Olanzapine	Erythromycin	NT5001	R1	0.036378002979187106	LM18-12
Escitalopram	Doxycycline	NT5002	R2	0.10480213319048362	LM18-22
Ropinirole HCl	Doxycycline	NT5002	R2	0.06476112095997055	LM18-22
Lacidipine	Doxycycline	NT5002	R2	0.11692739687644665	LM18-22
Argatroban	Doxycycline	NT5002	R2	0.13600817263963969	LM18-22
Caffeine	Doxycycline	NT5002	R2	0.12852259781950895	LM18-22
Celecoxib	Doxycycline	NT5002	R2	0.33649291254047764	LM18-22
Reboxetine mesylate	Doxycycline	NT5002	R2	0.10636555293225262	LM18-22
