NCBI_id	mOTU	average_log_rel_ab	prevalence	average_rel_ab	median_rel_ab	median_log_rel_ab
357276.PRJNA232731	Bacteroides dorei/vulgatus [ref_mOTU_v2_0898]	-1.64591279992317	0.980211081794195	0.0618178040146841	0.0343505636352515	-1.46394762627728
411479.PRJNA18195	Bacteroides rodentium/uniformis [ref_mOTU_v2_0899]	-1.96948116200935	0.961741424802111	0.0325269152820462	0.0169554324599623	-1.77043512822903
657318.PRJNA39159	Eubacterium rectale [ref_mOTU_v2_1416]	-2.36678381077214	0.87335092348285	0.023783382240581	0.0108056125665839	-1.96595010831284
1121115.PRJNA195783	Blautia wexlerae [ref_mOTU_v2_0466]	-2.38080614822324	0.994722955145119	0.013637840919174	0.00390038456280776	-2.4077824990319
748224.PRJNA46809	Faecalibacterium prausnitzii [ref_mOTU_v2_4910]	-2.58226518554619	0.908970976253298	0.0096472786910249	0.00411861809536179	-2.38420129684866
718252.PRJNA45961	Faecalibacterium prausnitzii [ref_mOTU_v2_4875]	-2.58339288382942	0.924802110817942	0.0108332554651864	0.0038081121645179	-2.41815940809836
245018.PRJNA45957	Anaerostipes hadrus [ref_mOTU_v2_1309]	-2.60414706923514	0.95778364116095	0.00959655521559485	0.00283803650800007	-2.54545546974757
-	unknown Lachnospiraceae [meta_mOTU_v2_6937]	-2.65000738662919	0.930079155672823	0.00575772460040438	0.00328706474298975	-2.48187280131338
-	unknown Roseburia [meta_mOTU_v2_5354]	-2.68551678297589	0.839050131926121	0.012067526399557	0.00516844849445411	-2.28580275483627
435591.PRJNA13485	Bacteroidales sp. [ref_mOTU_v2_1074]	-2.69740414220535	0.897097625329815	0.0071208493343146	0.00338494978769293	-2.46916745826898
445970.PRJNA19655	Alistipes putredinis [ref_mOTU_v2_4266]	-2.70845041643462	0.825857519788918	0.0113035918534367	0.00677081769763881	-2.1687182251689
515620.PRJNA29073	Eubacterium eligens [ref_mOTU_v2_4389]	-2.72606511101031	0.828496042216359	0.0122918311943453	0.00413930856049135	-2.38202794541487
-	unknown Ruminococcaceae [meta_mOTU_v2_6557]	-2.73172918493668	0.836411609498681	0.0111657803634156	0.00426935417372415	-2.36862501562968
411476.PRJNA18191	Bacteroides fragilis/ovatus [ref_mOTU_v2_1073]	-2.78277351421303	0.912928759894459	0.00885463657612401	0.00217062788048405	-2.66141999318867
411483.PRJNA18199	Faecalibacterium prausnitzii [ref_mOTU_v2_4211]	-2.82525443245159	0.837730870712401	0.00743531220218984	0.00314108472608224	-2.50154351712819
622312.PRJNA30757	Roseburia inulinivorans [ref_mOTU_v2_4632]	-2.82858220872413	0.894459102902375	0.00627202192161781	0.00252470786019646	-2.59607217269522
657322.PRJNA39151	Faecalibacterium prausnitzii [ref_mOTU_v2_1379]	-2.83326307719475	0.820580474934037	0.00955254488185217	0.00342047191555495	-2.464648631552
657309.PRJNA39177	Bacteroides xylanisolvens [ref_mOTU_v2_1072]	-2.84260615387828	0.927440633245383	0.00620632449891045	0.00165933174817872	-2.77745962320834
-	unknown Clostridiales [meta_mOTU_v2_5978]	-2.86982107242346	0.897097625329815	0.00605694779860613	0.00176750640798366	-2.75019019197098
657321.PRJNA39153	Ruminococcus bromii [ref_mOTU_v2_4720]	-2.89114896972299	0.717678100263852	0.019611133277432	0.00501281471430725	-2.29906506950199
-	unknown Ruminococcaceae [meta_mOTU_v2_6905]	-2.89600145305771	0.861477572559367	0.00638044516528384	0.00218615946674641	-2.65833866766692
-	unknown Clostridiales [meta_mOTU_v2_5669]	-2.89962655353676	0.906332453825857	0.00693394781151632	0.0012676974911137	-2.89357623245064
470146.PRJNA20525	Coprococcus comes [ref_mOTU_v2_4313]	-2.91156842542549	0.87598944591029	0.00370884787023723	0.00215446028253267	-2.66465171408909
-	unknown Clostridiales [meta_mOTU_v2_7130]	-2.93085413868233	0.95646437994723	0.00288255187177686	0.00120416834083452	-2.91572143689271
226186.PRJNA399	Bacteroides thetaiotaomicron [ref_mOTU_v2_0897]	-2.97712580892296	0.856200527704486	0.00650710575725247	0.00172765145770886	-2.76005212994308
-	unknown Faecalibacterium [meta_mOTU_v2_6631]	-2.99515508175909	0.813984168865435	0.00525631836290682	0.002239104487126	-2.64799038037128
1504823.PRJEB6481	bacterium LF-3 [ref_mOTU_v2_3608]	-3.01304338625417	0.852242744063325	0.00396982003016404	0.00178601989057248	-2.74568908158103
-	unknown Clostridiales [meta_mOTU_v2_6602]	-3.01309477463499	0.922163588390501	0.0025929727355986	0.00129167573216309	-2.88549738419954
411469.PRJNA18177	Eubacterium hallii [ref_mOTU_v2_4207]	-3.02080561782542	0.878627968337731	0.00412286978716391	0.00133693460278299	-2.87065368789358
657313.PRJNA39169	Ruminococcus torques [ref_mOTU_v2_4718]	-3.05029889049763	0.841688654353562	0.00422568609292827	0.00144669470196261	-2.83663739463339
411461.PRJNA18155	Dorea formicigenerans [ref_mOTU_v2_0973]	-3.07205051786705	0.919525065963061	0.0018439866804921	0.00109567891971356	-2.9563709710256
657323.PRJNA39149	Blautia sp. KLE 1732 [ref_mOTU_v2_0859]	-3.08564855634618	0.908970976253298	0.00342166586541787	0.000894759476689578	-3.04346830112322
1519439.PRJNA253252	Oscillibacter sp. ER4 [ref_mOTU_v2_3624]	-3.10432025694366	0.740105540897098	0.00504427897576395	0.00272666242646081	-2.56277878421449
-	unknown Clostridiales [meta_mOTU_v2_6832]	-3.11765785961964	0.857519788918206	0.0022937837238397	0.00142048034026961	-2.84452199484136
-	unknown Clostridiales [meta_mOTU_v2_6088]	-3.12797906276952	0.827176781002638	0.00356952888300573	0.00135467922770689	-2.86498250357814
-	unknown Butyricicoccus [meta_mOTU_v2_5437]	-3.13139033300649	0.927440633245383	0.0018009059813347	0.000884368825011507	-3.04848335776263
709991.PRJNA43469	Odoribacter splanchnicus [ref_mOTU_v2_4846]	-3.15311523028949	0.821899736147757	0.00230773812578321	0.00161071267433983	-2.79031279489111
411459.PRJNA18147	Blautia obeum [ref_mOTU_v2_4202]	-3.15824413960693	0.881266490765171	0.00260028308178553	0.000879268716842849	-3.05097468598642
411477.PRJNA18193	Parabacteroides merdae [ref_mOTU_v2_1378]	-3.16295385016837	0.738786279683377	0.00510434584684436	0.00195130987963664	-2.70745567290317
411903.PRJNA18167	Collinsella aerofaciens [ref_mOTU_v2_1383]	-3.16541947978997	0.786279683377309	0.0050856466900073	0.00119460612289558	-2.91915724194333
718255.PRJNA45953	Roseburia intestinalis [ref_mOTU_v2_1427]	-3.19948307957821	0.775725593667546	0.00527671659247058	0.00104823319435027	-2.9754190434303
717959.PRJNA45913	Alistipes shahii [ref_mOTU_v2_4873]	-3.22490238152395	0.798153034300792	0.00256841471972204	0.001159555029477	-2.9319798171428
-	unknown Clostridiales [meta_mOTU_v2_6632]	-3.23488782968215	0.854881266490765	0.00179496643058937	0.00092873609178744	-3.02745671987871
411901.PRJNA18163	Bacteroides caccae [ref_mOTU_v2_1382]	-3.27177603446267	0.700527704485488	0.00458285219247816	0.0014032639460137	-2.84977776230499
411462.PRJNA18157	Dorea longicatena [ref_mOTU_v2_4203]	-3.29112862502313	0.724274406332454	0.00351093575715911	0.00128600307309463	-2.88739998510341
245014.PRJNA39155	butyrate-producing bacterium SS3/4 [ref_mOTU_v2_3825]	-3.31832758584192	0.843007915567282	0.00143091412850381	0.000809283510111678	-3.0865667729735
1160721.PRJEA88543	Ruminococcus bicirculans [ref_mOTU_v2_2358]	-3.3212082765128	0.671503957783641	0.00683451504086795	0.00091385237595255	-3.03440304593853
1203611.PRJNA174975	Alistipes onderdonkii [ref_mOTU_v2_0775]	-3.33908876171907	0.745382585751979	0.0045338060811613	0.000700818015262081	-3.14824197844218
-	unknown Clostridium [meta_mOTU_v2_6792]	-3.34321742215106	0.806068601583113	0.00258975327093397	0.000684993461636365	-3.15802029996164
216816.PRJNA251950	Bifidobacterium longum [ref_mOTU_v2_0150]	-3.36943269464628	0.741424802110818	0.00482416681136392	0.00060399867577282	-3.2118326371458
585394.PRJNA33399	Roseburia hominis [ref_mOTU_v2_4572]	-3.36943793632363	0.817941952506596	0.00173536642655633	0.000626682530994947	-3.19607759969232
-	Oscillibacter sp. 57_20 [meta_mOTU_v2_6676]	-3.38672026905129	0.771767810026385	0.00172669734750443	0.000852288764548639	-3.06434782058975
1226322.PRJNA173637	Oscillibacter sp. KLE 1728 [ref_mOTU_v2_0858]	-3.40415693931664	0.843007915567282	0.00137764548002705	0.000544010372818701	-3.25648808410352
742726.PRJNA46375	Barnesiella intestinihominis [ref_mOTU_v2_4880]	-3.41099888630593	0.645118733509235	0.0040589722910163	0.000966596468787641	-3.01039971356817
1046629.PRJNA68129	Streptococcus salivarius [ref_mOTU_v2_0199]	-3.4126592941334	0.836411609498681	0.00266479894743329	0.000399587097324511	-3.38765373487845
155864.PRJNA253471	Enterobacteriaceae sp. [ref_mOTU_v2_0036]	-3.42132695362926	0.716358839050132	0.0114617107577394	0.000394855227761866	-3.3927010269267
411460.PRJNA18153	Ruminococcus torques [ref_mOTU_v2_1376]	-3.42250067896461	0.754617414248021	0.00257533588777442	0.000570939381085738	-3.23586925066513
1280698.PRJNA185710	Dorea longicatena [ref_mOTU_v2_2893]	-3.42526689714484	0.781002638522427	0.00176911443200072	0.000580698149786706	-3.2286344947484
-	unknown Clostridiales [meta_mOTU_v2_5805]	-3.44685968842263	0.798153034300792	0.00169174299180848	0.000477493027199786	-3.31205847309612
-	Eubacterium sp. CAG:38 [meta_mOTU_v2_7668]	-3.48929737586641	0.696569920844327	0.00429584176753855	0.000487936603953545	-3.30282746977725
-	unknown Clostridiales [meta_mOTU_v2_6721]	-3.49773740275607	0.585751978891821	0.00711344193149183	0.000289573248700218	-3.52351022850315
411463.PRJNA18159	Eubacterium ventriosum [ref_mOTU_v2_4204]	-3.50438448120689	0.704485488126649	0.00202885956529706	0.000557163321004301	-3.24629207573444
-	unknown Clostridiales [meta_mOTU_v2_7031]	-3.51440935873485	0.795514511873351	0.000806317560914219	0.000536936905769243	-3.26206282136093
-	unknown Clostridium [meta_mOTU_v2_6883]	-3.51581236640722	0.642480211081794	0.00262302850914399	0.000755740811163315	-3.11591842590043
-	unknown Clostridiales [meta_mOTU_v2_7180]	-3.52818614985325	0.66490765171504	0.00304586527883488	0.000488063573282804	-3.30271555143814
1408428.PRJNA223063	Bilophila wadsworthia [ref_mOTU_v2_1149]	-3.53194262962815	0.766490765171504	0.00111242975869572	0.000493441236175325	-3.29805141514755
665956.PRJNA40041	Subdoligranulum sp. 4_3_54A2FAA [ref_mOTU_v2_4738]	-3.53635442660784	0.852242744063325	0.0010194147714053	0.000338524466255429	-3.4577669900835
657319.PRJNA39157	Eubacterium siraeum [ref_mOTU_v2_1387]	-3.55003217007904	0.62401055408971	0.00604933197137069	0.00028240541584707	-3.53401511853688
717962.PRJEA45861	Coprococcus catus [ref_mOTU_v2_4874]	-3.56923821151118	0.769129287598945	0.000883025503184118	0.00046492636423291	-3.32337513530401
-	unknown Clostridiales [meta_mOTU_v2_6419]	-3.58914710489987	0.784960422163588	0.000783185321317339	0.000406009051179358	-3.38089728086533
742738.PRJNA46395	Flavonifractor plautii [ref_mOTU_v2_1377]	-3.58998711907679	0.800791556728232	0.00119003689736819	0.000304767451208775	-3.50201044065021
449673.PRJNA19859	Bacteroides stercoris [ref_mOTU_v2_0275]	-3.59560082433532	0.538258575197889	0.0129820943953241	0.000139116629289566	-3.82647488777571
