species_name	Pathobiont/Pathogen/Disease-associated	NT_code
Bacteroides vulgatus	FALSE	NT5001, NT5056
Bacteroides uniformis	FALSE	NT5002, NT5065, NT5066
Bacteroides thetaiotaomicron	FALSE	NT5004
Erysipelatoclostridium ramosum	FALSE	NT5006
[Eubacterium] rectale	FALSE	NT5009
Roseburia intestinalis	FALSE	NT5011
Veillonella parvula	TRUE	NT5017
Prevotella copri	TRUE	NT5019
Akkermansia muciniphila	FALSE	NT5021
Bifidobacterium adolescentis	FALSE	NT5022
Eggerthella lenta	TRUE	NT5024
Fusobacterium nucleatum	TRUE	NT5025
[Clostridium] bolteae	FALSE	NT5026
Bifidobacterium longum	FALSE	NT5028
Clostridium perfringens	TRUE	NT5032
Bacteroides fragilis	TRUE	NT5033, NT5003, NT5057, NT5058, NT5059
Bilophila wadsworthia	TRUE	NT5036
[Clostridium] saccharolyticum	FALSE	NT5037
Streptococcus salivarius	TRUE	NT5038
Lactobacillus paracasei	FALSE	NT5042
Ruminococcus bromii	FALSE	NT5045
[Ruminococcus] gnavus	FALSE	NT5046
[Ruminococcus] torques	FALSE	NT5047
Coprococcus comes	FALSE	NT5048
Bacteroides dorei	FALSE	NT5049
Bacteroides caccae	FALSE	NT5050
Bacteroides eggerthii	FALSE	NT5051
Bacteroides clarus	FALSE	NT5052
Bacteroides coprocola	FALSE	NT5053
Bacteroides ovatus	FALSE	NT5054
Bacteroides stercoris	FALSE	NT5055
Bacteroides xylanisolvens	FALSE	NT5064
Blautia obeum	FALSE	NT5069
Parabacteroides merdae	FALSE	NT5071
Streptococcus parasanguinis	FALSE	NT5072
Collinsella aerofaciens	FALSE	NT5073
Parabacteroides distasonis	FALSE	NT5074
[Eubacterium] eligens	FALSE	NT5075
Dorea formicigenerans	FALSE	NT5076
Escherichia coli	TRUE	NT5077, NT5078
Roseburia hominis	FALSE	NT5079
Odoribacter splanchnicus	TRUE	NT5081
Clostridioides difficile	TRUE	NT5083
[Clostridium] aldenense	TRUE	
[Clostridium] celerecrescens	TRUE	
[Clostridium] citroniae	TRUE	
[Clostridium] clostridioforme	TRUE	
[Clostridium] cocleatum	FALSE	
[Clostridium] hylemonae	FALSE	
[Clostridium] innocuum	TRUE	
[Clostridium] leptum	FALSE	
[Clostridium] scindens	FALSE	
[Clostridium] sphenoides	TRUE	
[Clostridium] spiroforme	TRUE	
[Clostridium] sporosphaeroides	FALSE	
[Clostridium] symbiosum	TRUE	
[Haemophilus] ducreyi	TRUE	
Acholeplasma laidlawii	FALSE	
Achromobacter xylosoxidans	TRUE	
Acinetobacter baumannii	TRUE	
Acinetobacter calcoaceticus	TRUE	
Acinetobacter haemolyticus	TRUE	
Acinetobacter johnsonii	TRUE	
Acinetobacter junii	TRUE	
Acinetobacter lwoffii	TRUE	
Acinetobacter nosocomialis	TRUE	
Acinetobacter pittii	TRUE	
Acinetobacter radioresistens	TRUE	
Acinetobacter sp.	TRUE	
Acinetobacter sp. ADP1	FALSE	
Actinobacillus pleuropneumoniae	TRUE	
Actinomyces israelii	TRUE	
Actinomyces meyeri	TRUE	
Actinomyces naeslundii	TRUE	
Actinomyces neuii	TRUE	
Actinomyces odontolyticus	TRUE	
Actinomyces sp.	TRUE	
Actinomyces turicensis	TRUE	
Actinomyces viscosus	TRUE	
Actinoplanes teichomyceticus	FALSE	
Aerococcus viridans	TRUE	
Aeromonas allosaccharophila	TRUE	
Aeromonas caviae	TRUE	
Aeromonas enteropelogenes	TRUE	
Aeromonas hydrophila	TRUE	
Aeromonas sobria	TRUE	
Aeromonas sp.	TRUE	
Aeromonas veronii	TRUE	
Aggregatibacter actinomycetemcomitans	TRUE	
Alcaligenes faecalis	FALSE	
Alloiococcus otitis	TRUE	
Alloprevotella tannerae	FALSE	
Anaerococcus lactolyticus	TRUE	
Anaerococcus murdochii	TRUE	
Anaerococcus octavius	TRUE	
Anaerococcus prevotii	TRUE	
Anaerococcus tetradius	TRUE	
Anaerococcus vaginalis	TRUE	
Anaerocolumna aminovalerica	FALSE	
Anaerotignum lactatifermentans	FALSE	
Arcanobacterium haemolyticum	TRUE	
Atlantibacter hermannii	FALSE	
Atopobium minutum	TRUE	
Atopobium parvulum	TRUE	
Bacillus anthracis	TRUE	
Bacillus cereus	TRUE	
Bacillus clausii	FALSE	
Bacillus fortis	FALSE	
Bacillus licheniformis	FALSE	
Bacillus megaterium	FALSE	
Bacillus pumilus	FALSE	
Bacillus sp. (in: Bacteria)	TRUE	
Bacillus sp. BS-01	FALSE	
Bacillus subtilis	TRUE	
Bacillus thuringiensis	FALSE	
Bacteroides heparinolyticus	TRUE	
Bacteroides nordii	FALSE	
Bacteroides sp.	FALSE	
Bacteroides zoogleoformans	TRUE	
Bartonella henselae	TRUE	
Bifidobacterium animalis	FALSE	
Bifidobacterium bifidum	FALSE	
